,cost,time
#1,895.25,98.38
#2,980.667,97.3
#3,1184.08,96.61
#4,746.883,96.83
#5,1089.98,96.75
#6,1107.95,96.67
#7,747.05,96.68
#8,1189.5,95.65
#9,1143.03,97.42
#10,717.983,97.48
#11,1019.83,96.98
#12,779.4,96.08
#13,760.6,98.98
#14,984.2,98.32
#15,1108.58,98.16
#16,1084.08,97.03
#17,920.917,97.59
#18,926.167,96.04
#19,627.633,95.56
#20,1286.47,99.0
#21,875.8,97.32
#22,1286.5,96.87
#23,1170.33,98.38
#24,835.1,99.51
#25,840.167,97.72
#26,1045.5,98.14
#27,993.467,97.22
#28,1009.12,96.96
#29,1041.05,97.36
#30,1016.45,98.23
median,1001.2935,97.31
avg,980.4578,97.374
