,cost,time
#1,5448.42,40.12
#2,84.9833,40.71
#3,165.133,39.61
#4,5470.5,40.88
#5,5452.02,39.8
#6,76.1833,39.59
#7,82.3667,39.89
#8,217.083,40.53
#9,143.383,40.36
#10,110.7,40.02
#11,102.417,40.58
#12,5448.0,40.2
#13,5451.33,39.85
#14,73.7167,39.57
#15,166.333,40.11
#16,221.717,40.39
#17,123.7,40.19
#18,121.667,40.2
#19,68.9167,39.75
#20,5445.0,39.44
#21,69.7,40.27
#22,81.8833,41.51
#23,121.217,39.21
#24,124.683,40.99
#25,85.1833,39.97
#26,5445.08,40.18
#27,97.0,39.86
#28,124.233,39.57
#29,128.25,40.26
#30,5466.13,39.42
median,124.458,40.115
avg,1540.56431,40.101
