,cost,time
#1,2835.62,58.62
#2,2856.2,58.31
#3,2851.82,58.12
#4,2921.05,58.1
#5,2719.37,57.53
#6,2764.58,58.42
#7,2639.87,57.19
#8,2714.27,57.31
#9,2797.22,58.72
#10,2744.82,58.24
#11,2786.5,58.09
#12,2779.08,58.83
#13,2921.58,57.51
#14,2874.55,57.53
#15,2613.27,58.39
#16,2855.1,58.63
#17,2585.38,58.73
#18,2617.47,58.85
#19,2499.58,57.59
#20,2908.53,58.52
#21,2770.52,59.1
#22,2578.57,60.04
#23,2925.92,58.18
#24,2825.98,58.48
#25,2477.58,58.49
#26,2891.98,57.74
#27,2562.63,60.14
#28,2847.78,57.45
#29,2583.4,58.21
#30,2817.43,58.81
median,2782.79,58.35
avg,2752.255,58.329
