,cost,time
#1,445.25,20.92
#2,454.85,21.42
#3,456.433,21.17
#4,446.633,21.27
#5,426.767,21.39
#6,407.833,21.03
#7,430.817,21.04
#8,425.767,21.37
#9,452.0,20.99
#10,468.25,21.74
#11,411.633,21.4
#12,472.483,21.39
#13,462.167,20.87
#14,445.917,20.67
#15,435.733,20.98
#16,477.567,21.57
#17,443.2,21.87
#18,424.517,21.43
#19,448.017,20.78
#20,448.117,21.09
#21,447.15,21.47
#22,456.567,21.48
#23,462.05,20.91
#24,451.233,18.2
#25,436.1,17.85
#26,436.65,18.81
#27,425.4,18.13
#28,450.65,17.78
#29,455.733,18.79
#30,436.633,17.73
median,446.8915,21.035
avg,444.737233333,20.518
