Optimize a model with 4841 rows, 65559 columns and 199250 nonzeros
Model has 1560 quadratic objective terms
Model has 1600 quadratic constraints
Coefficient statistics:
  Matrix range    [1e+00, 1e+03]
  Objective range [0e+00, 0e+00]
  Bounds range    [1e+00, 4e+01]
  RHS range       [1e+00, 9e+03]
Presolve removed 159 rows and 4562 columns
Presolve time: 0.29s
Presolved: 239194 rows, 178233 columns, 884417 nonzeros
Variable types: 118796 continuous, 59437 integer (59398 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   38693    5.3000698e+01   6.804378e+03   0.000000e+00      5s
   45247    5.3000772e+01   9.327182e+03   0.000000e+00     10s
   51319    5.3000821e+01   1.617235e+04   0.000000e+00     15s
   56599    5.3000853e+01   1.144916e+04   0.000000e+00     20s
   61087    5.3000872e+01   1.649516e+04   0.000000e+00     25s
   66103    5.3000901e+01   9.322800e+03   0.000000e+00     30s
   70327    5.3000918e+01   7.757261e+03   0.000000e+00     35s
   74287    5.3000929e+01   1.008225e+04   0.000000e+00     40s
   78775    5.3000946e+01   1.611522e+04   0.000000e+00     45s
   82471    5.3000960e+01   2.097202e+04   0.000000e+00     50s
   86695    5.3000976e+01   1.226367e+04   0.000000e+00     55s
   90655    5.3000987e+01   2.008949e+04   0.000000e+00     60s
   94879    5.3001002e+01   6.226765e+04   0.000000e+00     65s
   98575    5.3001013e+01   8.821544e+03   0.000000e+00     70s
  102271    5.3001027e+01   9.116873e+03   0.000000e+00     75s
  106495    5.3001044e+01   9.796518e+03   0.000000e+00     80s
  110191    5.3001056e+01   1.021406e+04   0.000000e+00     85s
  113887    5.3001067e+01   1.347499e+04   0.000000e+00     90s
  117583    5.3001078e+01   9.057352e+03   0.000000e+00     95s
  121279    5.3001090e+01   1.708038e+04   0.000000e+00    100s
  125239    5.3001104e+01   8.073341e+03   0.000000e+00    105s
  128935    5.3001116e+01   3.111018e+04   0.000000e+00    110s
  133159    5.3001130e+01   8.411456e+04   0.000000e+00    115s
  136591    5.3001139e+01   1.893031e+04   0.000000e+00    120s
  140551    5.3001150e+01   2.471946e+04   0.000000e+00    125s
  144247    5.3001160e+01   1.273728e+04   0.000000e+00    130s
  147415    5.3001169e+01   8.430812e+03   0.000000e+00    135s
  150847    5.3001178e+01   9.487746e+03   0.000000e+00    140s
  154543    5.3001187e+01   1.079044e+04   0.000000e+00    145s
  157975    5.3001197e+01   1.508931e+04   0.000000e+00    150s
  161671    5.3001207e+01   4.933270e+03   0.000000e+00    155s
  165103    5.3001215e+01   3.725182e+04   0.000000e+00    160s
  168535    5.3001223e+01   1.363824e+04   0.000000e+00    165s
  171703    5.3001232e+01   4.042379e+04   0.000000e+00    170s
  175399    5.3001243e+01   1.983745e+04   0.000000e+00    175s
  178831    5.3001252e+01   2.283519e+04   0.000000e+00    180s
  182263    5.3001260e+01   3.999559e+04   0.000000e+00    185s
  185695    5.3001268e+01   1.420408e+04   0.000000e+00    190s
  189127    5.3001277e+01   2.748524e+04   0.000000e+00    195s
  192295    5.3001284e+01   2.428989e+04   0.000000e+00    200s
  195463    5.3001292e+01   7.710628e+03   0.000000e+00    205s
  198895    5.3001300e+01   9.923943e+03   0.000000e+00    210s
  202063    5.3001307e+01   1.203892e+04   0.000000e+00    215s
  205231    5.3001314e+01   6.784840e+03   0.000000e+00    220s
  208135    5.3001320e+01   8.938530e+03   0.000000e+00    225s
  211303    5.3001328e+01   1.153034e+04   0.000000e+00    230s
  214471    5.3001401e+01   9.150405e+03   0.000000e+00    235s
