Optimize a model with 7551 rows, 127449 columns and 386560 nonzeros
Model has 2450 quadratic objective terms
Model has 2500 quadratic constraints
Coefficient statistics:
  Matrix range    [1e+00, 9e+02]
  Objective range [0e+00, 0e+00]
  Bounds range    [1e+00, 5e+01]
  RHS range       [1e+00, 1e+04]
Presolve removed 199 rows and 7202 columns
Presolve time: 0.65s
Presolved: 473494 rows, 353293 columns, 1756027 nonzeros
Variable types: 235496 continuous, 117797 integer (117748 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   47046    7.2120838e-04   3.641322e+03   0.000000e+00      5s
   72281    1.1609433e-03   9.725378e+03   0.000000e+00     10s
   83053    1.3029150e-03   1.110985e+04   0.000000e+00     15s
   88438    1.3510012e-03   2.070016e+04   0.000000e+00     20s
   94421    1.3946839e-03   1.051409e+04   0.000000e+00     25s
  100883    1.4367723e-03   1.176106e+04   0.000000e+00     30s
  105550    1.4601756e-03   7.683521e+03   0.000000e+00     35s
  110217    1.4859177e-03   5.551874e+03   0.000000e+00     40s
  113448    1.4993032e-03   8.685219e+03   0.000000e+00     45s
  116679    1.5112947e-03   1.668539e+04   0.000000e+00     51s
  120628    1.5299755e-03   1.057784e+04   0.000000e+00     56s
  124218    1.5441519e-03   7.800487e+03   0.000000e+00     60s
  128167    1.5580737e-03   2.759001e+04   0.000000e+00     66s
  129962    1.5649120e-03   2.152863e+04   0.000000e+00     70s
  132834    6.7001572e+01   2.230774e+04   0.000000e+00     75s
  135706    6.7001583e+01   2.522844e+04   0.000000e+00     81s
  137860    6.7001588e+01   4.282224e+04   0.000000e+00     85s
  140014    6.7001593e+01   1.658780e+04   0.000000e+00     90s
  141809    6.7001596e+01   1.244480e+04   0.000000e+00     96s
  143604    6.7001634e+01   2.064666e+04   0.000000e+00    100s
  146117    6.7001675e+01   2.117423e+04   0.000000e+00    106s
  147553    6.7001690e+01   3.005449e+04   0.000000e+00    111s
  150425    6.7001771e+01   4.893182e+04   0.000000e+00    115s
  152220    6.7001796e+01   4.416126e+04   0.000000e+00    121s
  153656    6.7001810e+01   7.586634e+04   0.000000e+00    126s
  155092    6.7001829e+01   4.438058e+04   0.000000e+00    130s
  156887    6.7001845e+01   1.944828e+04   0.000000e+00    136s
  158682    6.7001890e+01   7.143645e+04   0.000000e+00    141s
  160118    6.7001947e+01   1.065238e+05   0.000000e+00    146s
  161554    6.7001964e+01   3.939536e+04   0.000000e+00    151s
  162990    6.7001980e+01   6.114656e+04   0.000000e+00    156s
  164067    6.7001989e+01   8.078340e+04   0.000000e+00    160s
  165503    6.7001998e+01   6.682411e+05   0.000000e+00    166s
  166939    6.7002007e+01   4.845519e+04   0.000000e+00    171s
  168375    6.7002019e+01   4.441221e+04   0.000000e+00    176s
  169811    6.7002030e+01   2.221537e+05   0.000000e+00    181s
  171606    6.7002056e+01   3.636016e+04   0.000000e+00    186s
  173042    6.7002076e+01   1.616488e+04   0.000000e+00    190s
  175196    6.7002115e+01   5.612128e+04   0.000000e+00    196s
  176632    6.7002141e+01   4.089055e+04   0.000000e+00    200s
  178786    6.7002180e+01   3.778417e+04   0.000000e+00    205s
  180581    6.7002211e+01   5.710743e+04   0.000000e+00    210s
  183094    6.7002293e+01   3.289474e+04   0.000000e+00    215s
  184889    6.7002318e+01   1.637938e+04   0.000000e+00    220s
  186684    6.7002336e+01   1.164392e+04   0.000000e+00    226s
  188120    6.7002344e+01   1.848943e+04   0.000000e+00    231s
  189556    6.7002375e+01   2.418810e+04   0.000000e+00    235s
  191351    6.7002385e+01   5.495248e+04   0.000000e+00    241s
  192787    6.7002396e+01   1.672398e+05   0.000000e+00    246s
  194223    6.7002407e+01   7.547312e+04   0.000000e+00    251s
  195300    6.7002412e+01   3.227945e+04   0.000000e+00    255s
  197095    6.7002454e+01   2.560499e+05   0.000000e+00    261s
  198531    6.7002460e+01   9.241386e+04   0.000000e+00    267s
  199608    6.7002467e+01   5.466206e+04   0.000000e+00    271s
  201403    6.7002485e+01   4.879768e+04   0.000000e+00    275s
  204275    6.7002530e+01   7.554153e+04   0.000000e+00    280s
  206429    6.7002564e+01   1.656864e+04   0.000000e+00    286s
  207506    6.7002574e+01   1.375481e+04   0.000000e+00    290s
  210019    6.7002662e+01   2.457099e+04   0.000000e+00    296s
  211455    6.7002670e+01   7.512995e+05   0.000000e+00    301s
  212891    6.7002706e+01   9.939012e+04   0.000000e+00    305s
  214327    6.7002726e+01   1.309844e+04   0.000000e+00    310s
  216122    6.7002750e+01   6.779353e+03   0.000000e+00    316s
  217199    6.7002760e+01   2.900423e+04   0.000000e+00    320s
  219353    6.7002791e+01   1.080998e+04   0.000000e+00    325s
  221148    6.7002802e+01   6.252375e+03   0.000000e+00    331s
  222943    6.7002823e+01   5.373511e+04   0.000000e+00    336s
  224020    6.7002828e+01   6.468824e+03   0.000000e+00    341s
  225815    6.7002849e+01   1.954659e+04   0.000000e+00    346s
  227610    6.7002871e+01   2.478663e+04   0.000000e+00    350s
  229405    6.7002893e+01   8.636086e+03   0.000000e+00    357s
  231200    6.7002919e+01   7.005432e+04   0.000000e+00    360s
  233354    6.7002940e+01   2.086327e+04   0.000000e+00    365s
  235149    6.7002969e+01   2.881468e+04   0.000000e+00    371s
  237303    6.7003018e+01   5.654914e+04   0.000000e+00    376s
  239098    6.7003048e+01   1.001141e+05   0.000000e+00    381s
  240175    6.7003055e+01   8.433366e+04   0.000000e+00    386s
  241611    6.7003065e+01   2.317231e+04   0.000000e+00    391s
  243406    6.7003094e+01   3.425473e+04   0.000000e+00    395s
  244842    6.7003110e+01   2.378865e+04   0.000000e+00    400s
  246278    6.7003115e+01   5.295267e+04   0.000000e+00    406s
  247355    6.7003118e+01   7.694080e+03   0.000000e+00    410s
  248791    6.7003128e+01   5.224335e+03   0.000000e+00    416s
  249868    6.7003133e+01   8.469711e+03   0.000000e+00    420s
  251304    6.7003139e+01   1.107179e+04   0.000000e+00    426s
  252381    6.7003143e+01   3.187719e+04   0.000000e+00    431s
  253817    6.7003149e+01   4.251223e+04   0.000000e+00    436s
  255253    6.7003155e+01   1.330478e+04   0.000000e+00    441s
  256689    6.7003163e+01   1.532072e+04   0.000000e+00    446s
  257766    6.7003169e+01   1.407838e+05   0.000000e+00    451s
  258843    6.7003173e+01   1.677668e+05   0.000000e+00    455s
  260279    6.7003182e+01   2.396251e+05   0.000000e+00    461s
  261715    6.7003216e+01   2.192126e+04   0.000000e+00    466s
  263151    6.7003225e+01   4.013458e+04   0.000000e+00    471s
  264228    6.7003230e+01   1.778358e+04   0.000000e+00    475s
  265305    6.7003233e+01   1.836776e+05   0.000000e+00    480s
  266741    6.7003241e+01   1.139941e+04   0.000000e+00    486s
  268177    6.7003258e+01   8.043651e+04   0.000000e+00    491s
  269254    6.7003263e+01   2.195262e+04   0.000000e+00    495s
  270690    6.7003282e+01   6.421341e+05   0.000000e+00    501s
  272844    6.7003316e+01   5.568235e+04   0.000000e+00    505s
  274998    6.7003329e+01   4.963479e+04   0.000000e+00    512s
  276434    6.7003348e+01   4.978350e+04   0.000000e+00    515s
  278229    6.7003366e+01   2.244739e+04   0.000000e+00    521s
  280024    6.7003394e+01   2.233249e+04   0.000000e+00    526s
  281819    6.7003419e+01   4.427519e+04   0.000000e+00    530s
  283255    6.7003424e+01   1.005889e+04   0.000000e+00    536s
  284691    6.7003444e+01   1.307646e+04   0.000000e+00    540s
  286845    6.7003471e+01   1.541582e+04   0.000000e+00    545s
  288281    6.7003479e+01   1.576633e+05   0.000000e+00    551s
  289717    6.7003486e+01   9.606992e+04   0.000000e+00    556s
  290794    6.7003495e+01   3.126356e+05   0.000000e+00    560s
  292230    6.7003501e+01   1.863252e+04   0.000000e+00    566s
  293307    6.7003506e+01   7.742420e+04   0.000000e+00    571s
  294384    6.7003511e+01   9.854214e+05   0.000000e+00    575s
  296179    6.7003543e+01   1.149468e+04   0.000000e+00    581s
  297615    6.7003573e+01   4.294102e+03   0.000000e+00    585s
  299051    6.7003579e+01   5.473934e+04   0.000000e+00    590s
  300487    6.7003586e+01   1.316472e+04   0.000000e+00    596s
  301923    6.7003600e+01   3.281106e+04   0.000000e+00    602s
  303000    6.7003605e+01   2.678605e+04   0.000000e+00    606s
  304795    6.7003623e+01   2.059341e+04   0.000000e+00    610s
  306590    6.7003634e+01   9.095534e+04   0.000000e+00    615s
  307667    6.7003638e+01   1.297383e+05   0.000000e+00    620s
  309103    6.7003642e+01   7.074983e+03   0.000000e+00    626s
  310180    6.7003648e+01   3.130347e+04   0.000000e+00    630s
  311616    6.7003660e+01   5.493228e+04   0.000000e+00    635s
  313052    6.7003666e+01   4.645156e+04   0.000000e+00    641s
  314129    6.7003670e+01   5.041919e+04   0.000000e+00    645s
  315924    6.7003682e+01   1.855179e+04   0.000000e+00    651s
  317001    6.7003687e+01   4.157674e+03   0.000000e+00    655s
  318437    6.7003691e+01   1.536961e+04   0.000000e+00    661s
  319514    6.7003697e+01   4.354207e+04   0.000000e+00    666s
  320950    6.7003716e+01   1.087203e+04   0.000000e+00    670s
  322027    6.7003719e+01   4.609296e+04   0.000000e+00    675s
  323463    6.7003748e+01   2.211256e+04   0.000000e+00    681s
  324899    6.7003752e+01   1.061488e+04   0.000000e+00    687s
  325976    6.7003759e+01   1.076225e+05   0.000000e+00    690s
  327412    6.7003764e+01   3.782898e+04   0.000000e+00    696s
  328489    6.7003773e+01   3.196802e+04   0.000000e+00    700s
  329925    6.7003778e+01   1.914953e+04   0.000000e+00    706s
  331002    6.7003785e+01   1.665711e+04   0.000000e+00    711s
  332438    6.7003788e+01   9.305355e+03   0.000000e+00    716s
  333515    6.7003803e+01   8.147103e+03   0.000000e+00    721s
  334592    6.7003807e+01   4.931544e+04   0.000000e+00    726s
  335669    6.7003809e+01   1.323229e+04   0.000000e+00    730s
  336746    6.7003812e+01   1.608852e+04   0.000000e+00    736s
  337823    6.7003816e+01   6.745198e+03   0.000000e+00    741s
  338900    6.7003820e+01   1.902710e+04   0.000000e+00    746s
  340336    6.7003825e+01   5.979866e+04   0.000000e+00    752s
  341054    6.7003826e+01   4.569106e+04   0.000000e+00    756s
  342131    6.7003829e+01   9.028561e+03   0.000000e+00    760s
  343208    6.7003831e+01   1.058298e+04   0.000000e+00    766s
  344285    6.7003835e+01   9.519604e+03   0.000000e+00    771s
  345362    6.7003838e+01   1.263317e+04   0.000000e+00    776s
  346439    6.7003844e+01   1.169910e+05   0.000000e+00    781s
  347516    6.7003848e+01   8.306787e+03   0.000000e+00    786s
  348593    6.7003862e+01   1.550716e+04   0.000000e+00    790s
  349670    6.7003865e+01   2.175239e+04   0.000000e+00    795s
  350747    6.7003868e+01   7.629013e+03   0.000000e+00    801s
  351824    6.7003870e+01   1.203243e+04   0.000000e+00    806s
  352901    6.7003876e+01   5.486691e+03   0.000000e+00    812s
  353619    6.7003877e+01   6.533966e+03   0.000000e+00    815s
  354696    6.7003879e+01   2.157249e+04   0.000000e+00    821s
  355773    6.7003881e+01   4.879434e+04   0.000000e+00    827s
  356491    6.7003883e+01   1.751831e+04   0.000000e+00    830s
  357568    6.7003884e+01   3.468883e+03   0.000000e+00    836s
  358645    6.7003887e+01   1.033358e+04   0.000000e+00    842s
  359363    6.7003889e+01   1.600582e+05   0.000000e+00    846s
  360440    6.7003892e+01   1.176058e+04   0.000000e+00    851s
  361517    6.7003894e+01   1.821113e+04   0.000000e+00    857s
  362235    6.7003896e+01   6.420975e+03   0.000000e+00    861s
  363312    6.7003898e+01   2.331505e+04   0.000000e+00    866s
  364389    6.7003901e+01   4.219396e+04   0.000000e+00    872s
  365107    6.7003903e+01   5.856092e+03   0.000000e+00    876s
  365825    6.7003904e+01   7.660211e+03   0.000000e+00    880s
  366902    6.7003906e+01   8.262748e+04   0.000000e+00    887s
  367620    6.7003908e+01   6.751591e+03   0.000000e+00    891s
  368338    6.7003909e+01   1.187994e+04   0.000000e+00    895s
  369415    6.7003911e+01   4.443038e+04   0.000000e+00    901s
  370133    6.7003912e+01   6.329605e+03   0.000000e+00    905s
  371210    6.7003915e+01   1.528583e+05   0.000000e+00    911s
  371928    6.7003916e+01   5.467818e+04   0.000000e+00    915s
  373005    6.7003918e+01   6.597156e+03   0.000000e+00    922s
  373723    6.7003920e+01   9.283875e+03   0.000000e+00    926s
  374800    6.7003922e+01   2.818658e+04   0.000000e+00    932s
  375518    6.7003923e+01   6.980875e+03   0.000000e+00    935s
  376595    6.7003925e+01   4.616816e+03   0.000000e+00    942s
  377313    6.7003926e+01   3.004989e+04   0.000000e+00    945s
  378390    6.7003928e+01   3.139900e+04   0.000000e+00    951s
  379826    6.7003961e+01   8.310566e+03   0.000000e+00    956s
  380903    6.7003978e+01   7.980019e+03   0.000000e+00    961s
  381980    6.7003997e+01   3.999756e+03   0.000000e+00    966s
  383057    6.7004009e+01   9.483138e+03   0.000000e+00    971s
  384134    6.7004020e+01   7.357234e+03   0.000000e+00    976s
  385211    6.7004029e+01   1.350367e+04   0.000000e+00    981s
  385929    6.7004033e+01   1.357169e+04   0.000000e+00    986s
  387006    6.7004042e+01   8.356725e+04   0.000000e+00    991s
  388442    6.7004058e+01   9.823172e+03   0.000000e+00    996s
  389878    6.7004147e+01   9.868363e+04   0.000000e+00   1001s
  390955    6.7004158e+01   1.227557e+04   0.000000e+00   1005s
  392032    6.7004168e+01   1.755083e+04   0.000000e+00   1011s
  393109    6.7004178e+01   3.796023e+04   0.000000e+00   1016s
  394186    6.7004188e+01   1.886622e+04   0.000000e+00   1021s
  394904    6.7004198e+01   2.322902e+04   0.000000e+00   1025s
  395981    6.7004209e+01   1.408941e+04   0.000000e+00   1031s
  398135    6.7004307e+01   3.090569e+04   0.000000e+00   1036s
  399212    6.7004314e+01   1.141750e+04   0.000000e+00   1041s
  400289    6.7004325e+01   4.098792e+05   0.000000e+00   1046s
  401007    6.7004329e+01   5.722596e+04   0.000000e+00   1051s
  401725    6.7004332e+01   2.480479e+04   0.000000e+00   1055s
  402802    6.7004338e+01   9.364645e+03   0.000000e+00   1061s
  403520    6.7004342e+01   1.849784e+04   0.000000e+00   1066s
  404238    6.7004346e+01   8.001662e+03   0.000000e+00   1070s
  405315    6.7004361e+01   6.552853e+03   0.000000e+00   1076s
  406033    6.7004366e+01   1.411190e+04   0.000000e+00   1080s
  407110    6.7004374e+01   8.304452e+03   0.000000e+00   1086s
  408187    6.7004381e+01   4.975265e+04   0.000000e+00   1091s
